"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","Leg Extension (Machine)",,"",0,"normal",22.5,30,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","Leg Extension (Machine)",,"",1,"normal",22.5,30,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","Leg Extension (Machine)",,"",2,"normal",22.5,30,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",0,"normal",40,16,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",1,"normal",120,12,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",2,"normal",160,12,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",3,"normal",200,12,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",4,"normal",200,12,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",5,"normal",220,12,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",6,"normal",40,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",7,"normal",50,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","LEG 45",,"",8,"normal",50,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ESTENSORA BILATERAL",,"",0,"normal",30,13,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ESTENSORA BILATERAL",,"",1,"normal",42.5,12,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ESTENSORA BILATERAL",,"",2,"normal",62.5,12,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ESTENSORA BILATERAL",,"",3,"normal",62.5,13,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ESTENSORA BILATERAL",,"",4,"normal",70,13,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ESTENSORA BILATERAL",,"",5,"normal",42.5,30,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CURL EM PE",,"",0,"normal",35,26,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CURL EM PE",,"",1,"normal",35,26,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CURL EM PE",,"",2,"normal",35,26,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CURL EM PE",,"",3,"normal",35,26,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ADUTORA",,"",0,"normal",50,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ADUTORA",,"",1,"normal",50,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ADUTORA",,"",2,"normal",50,22,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ADUTORA",,"",3,"normal",50,30,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ABDUTORA",,"",0,"normal",145,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ABDUTORA",,"",1,"normal",145,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ABDUTORA",,"",2,"normal",145,20,,,
"C1","27 Aug 2025, 07:20","27 Aug 2025, 09:15","","CADEIRA ABDUTORA",,"",3,"normal",145,20,,,
"B1","26 Aug 2025, 11:55","26 Aug 2025, 13:39","","REMADA ARTICULADA ABERTA",,"",0,"normal",35,18,,,
"B1","26 Aug 2025, 11:55","26 Aug 2025, 13:39","","REMADA ARTICULADA ABERTA",,"",1,"normal",45,10,,,
"B1","26 Aug 2025, 11:55","26 Aug 2025, 13:39","","REMADA ARTICULADA ABERTA",,"",2,"normal",55,13,,,
"B1","26 Aug 2025, 11:55","26 Aug 2025, 13:39","","REMADA ARTICULADA ABERTA",,"",3,"normal",55,13,,,
"B1","26 Aug 2025, 11:55","26 Aug 2025, 13:39","","REMADA ARTICULADA ABERTA",,"",4,"normal",55,13,,,
"B1","26 Aug 2025, 11:55","26 Aug 2025, 13:39","","REMADA SENTADA TRIANGULO",,"",0,"normal",45,13,,,
